Participant No.,ID,Status,Date,Start time [hh:mm],Age[y],Age group,Sex,Weather,Season,Data loss [%],Lab light sequence
50,SP050,Included,19/08/2021,15:53,85,>64,Male,Somewhat cloudy,Summer,47.92746114,WBGR
51,SP051,Excluded after trial,20/08/2021,07:57,56,55-64,Female,Very cloudy,Summer,100,RGBW
52,SP052,Excluded after trial,25/08/2021,15:14,64,55-64,Female,Somewhat cloudy,Summer,100,RGWB
53,SP053,Included,27/08/2021,13:55,36,35-44,Male,Sunny,Summer,48.8372093,RBGW
54,SP054,Included,03/09/2021,09:30,55,55-64,Female,Somewhat cloudy,Autumn,42.20963173,RBWG
55,SP055,Included,09/09/2021,09:16,39,35-44,Female,Somewhat cloudy,Autumn,52.85285285,RWGB
56,SP056,Included,10/09/2021,10:35,60,55-64,Male,Very cloudy,Autumn,22.12885154,RWBG
57,SP057,Included,16/09/2021,12:26,54,45-54,Female,Cloudy,Autumn,70.64220183,GRBW
58,SP058,Excluded after trial,17/09/2021,09:41,49,45-54,Female,Somewhat cloudy,Autumn,81.59509202,GRWB
59,SP059,Included,17/09/2021,11:37,44,35-44,Male,Somewhat cloudy,Autumn,40.58823529,GBRW
60,SP060,Excluded after trial,22/09/2021,12:47,52,45-54,Female,Sunny,Autumn,100,GBWR
61,SP061,Excluded after trial,23/09/2021,12:45,93,>64,Male,Sunny,Autumn,95.65217391,GWRB
62,SP062,Excluded after trial,23/09/2021,14:36,59,55-64,Female,Sunny,Autumn,93.37175793,GWBR
63,SP063,Included,30/09/2021,08:54,61,55-64,Female,Sunny,Autumn,64.30446194,GWBR
64,SP064,Included,01/10/2021,14:33,80,>64,Male,Sunny,Autumn,54.20289855,BRGW
65,SP065,Included,06/10/2021,13:45,38,35-44,Male,Cloudy,Autumn,37.75216138,BRWG
66,SP066,Included,08/10/2021,12:55,48,45-54,Male,Sunny,Autumn,55.36231884,BGRW
67,SP067,Included,14/10/2021,12:16,57,55-64,Female,Sunny,Autumn,25.74850299,BGWR
68,SP068,Included,21/10/2021,14:21,40,35-44,Female,Somewhat cloudy,Autumn,33.86666667,BWRG
69,SP069,Excluded after trial,28/10/2021,09:58,60,55-64,Female,Sunny,Autumn,100,BWGR
70,SP070,Included,28/10/2021,12:27,54,45-54,Female,Sunny,Autumn,30.83832335,WRGB
71,SP071,Included,29/10/2021,10:50,21,18-24,Female,Somewhat cloudy,Autumn,32.0855615,WRBG
72,SP072,Included,04/11/2021,10:47,62,55-64,Female,Very cloudy,Autumn,15.83333333,WGRB
73,SP073,Included,12/11/2021,09:47,61,55-64,Female,Very cloudy,Autumn,60,WGBR
74,SP074,Included,29/11/2021,13:20,64,55-64,Male,Very cloudy,Autumn,10.81794195,WBRG
75,SP075,Excluded before trial,02/12/2021,10:47,69,>64,Male,NA,Winter,100,NA
76,SP076,Included,03/12/2021,10:55,87,>64,Male,Sunny,Winter,58.01104972,WBGR
77,SP077,Included,17/12/2021,10:51,38,35-44,Male,Very cloudy,Winter,26.443769,RGBW
78,SP078,Excluded before trial,20/12/2021,11:12,68,>64,Female,NA,Winter,100,NA
79,SP079,Excluded before trial,23/12/2021,10:39,55,55-64,Male,NA,Winter,100,NA
80,SP080,Included,17/01/2022,14:01,41,35-44,Male,Very cloudy,Winter,26.74094708,RGWB
81,SP081,Included,24/01/2022,12:51,20,18-24,Female,Sunny,Winter,57.6819407,RBGW
82,SP082,Included,27/01/2022,08:57,23,18-24,Female,Very cloudy,Winter,61.14130435,RBWG
83,SP083,Included,27/01/2022,12:18,20,18-24,Female,Very cloudy,Winter,26.24309392,RBWG
